slot, attendee, sponsor
0, Carlsson, data.world
0, El Amal, OriginTrail
0, Olivetti, Brighthive
0, Kianfar, Accenture
0, Gaston, Datastax
0, Daemkin, Ontotext
0, Junger, CapGemini
0, van Venetie, TerminusDB
0, Kahvecioglu, Amazon
0, van der Put, Cambridge Semantics
0, Sebes, RelationalAI
0, Molloy, Oracle
0, Borgt, LARUS Business Automation
0, Leo, Oxford Semantic
0, Romy, Katana Graph
0, Tl'izilani, Ontoforce
0, Ritjes, SeMI Technologies
0, Athanasopoulos, Sponsor_1
0, Stokes, Sponsor_2
0, Schuricht, Sponsor_3
0, van Bourgondië, ExperoInc
0, Koepke, Synaptica
0, DeMilo, Semantic Web
0, Rings, Franz
0, Manfellotto, Lymba
0, Perini, Sponsor_0
0, Zainab Abdin, Datachemist
0, Gerungan, Stardog
0, Diks, Graph Aware
0, van Tuijl, MonteCarlo
1, Versteege, Synaptica
1, Flores, Katana Graph
1, Shatner, Cambridge Semantics
1, van Middelhoven, Accenture
1, van Venetie, OriginTrail
1, McKenzie, Ontoforce
1, Kanepi, TerminusDB
1, Jarvelink, Brighthive
1, Katz, RelationalAI
1, Marceline, Lymba
1, Sillius, MonteCarlo
1, Magdalen, Amazon
1, Lohmar, LARUS Business Automation
1, Akkaya, Sponsor_2
1, Schill, CapGemini
1, Hueck, Sponsor_0
1, Pritchard, data.world
1, Vinerius, Sponsor_3
1, Krohn, Ontotext
1, Leskanich, Semantic Web
1, DuChesne, Sponsor_1
1, Kientz, Oracle
1, van den Berg, Datachemist
1, Seliga, SeMI Technologies
1, van Hoogenhuyze, Oxford Semantic
1, Reja, Franz
1, Krabbe, Graph Aware
1, Terwisscha, ExperoInc
1, Kjo/ren, Stardog
1, Fey, Datastax
2, Versteege, ExperoInc
2, Pekarek, Cambridge Semantics
2, Dieken, OriginTrail
2, Bridges, Stardog
2, Hilenga, Brighthive
2, Sherrington, Katana Graph
2, Emmitt, Datachemist
2, Kaan, Sponsor_0
2, MacCredie, data.world
2, McLarren, SeMI Technologies
2, van Limburg, Graph Aware
2, Guillain, Sponsor_3
2, Hammadi, CapGemini
2, Bleau, Accenture
2, Mallers, Oxford Semantic
2, Anastasopoulou, RelationalAI
2, Posthumus, Semantic Web
2, Newall, Amazon
2, Guinn, Ontoforce
2, Sharri, Oracle
2, Whitt, Sponsor_1
2, Maisha, Synaptica
2, Sastry, Ontotext
2, Nobel, TerminusDB
2, Dekker, Lymba
2, Lodewijks, Sponsor_2
2, Kooymans, LARUS Business Automation
2, Hutton, Franz
2, van Akerlaken, MonteCarlo
2, Apsion, Datastax
3, Broeckx, Semantic Web
3, Selçuk, LARUS Business Automation
3, Dhawan, data.world
3, Gaston, Cambridge Semantics
3, Stromming, Oracle
3, McKenzie, Ontotext
3, Kanepi, MonteCarlo
3, Kudrow, Datachemist
3, Kumagai, OriginTrail
3, Goldwasser, Accenture
3, Kamerlingh, Katana Graph
3, Marceline, Amazon
3, Vuyk, Sponsor_2
3, Arcangelis, Lymba
3, Laverman, Sponsor_3
3, Domino, Franz
3, Hilliard, RelationalAI
3, Higuain, Sponsor_0
3, van Berloo, Ontoforce
3, Mathura, SeMI Technologies
3, Tallarico, Synaptica
3, von Kruse, TerminusDB
3, Detta, Sponsor_1
3, Zimorowic, Graph Aware
3, van Nun, Oxford Semantic
3, Venetta, Stardog
3, Halema, CapGemini
3, Weijling, Datastax
3, Pick, ExperoInc
3, Widjaya, Brighthive
4, Bessem, data.world
4, Pekarek, Oxford Semantic
4, Carlsson, Oracle
4, El Amal, Katana Graph
4, Barthel, Franz
4, Hilenga, Ontotext
4, Oku, RelationalAI
4, Kumagai, Datachemist
4, Jarvelink, Sponsor_1
4, El Baoudi, Cambridge Semantics
4, Reijmer, Accenture
4, Craw, Datastax
4, Perets, Sponsor_3
4, Abu Rdeineh, OriginTrail
4, Barendsen, Sponsor_2
4, Corso, CapGemini
4, Tsakiri, Stardog
4, Rensebrinck, LARUS Business Automation
4, Dalessandro, Lymba
4, van Ossenbruggen, SeMI Technologies
4, Bandar, ExperoInc
4, Hauser, Graph Aware
4, Pretenteris, Brighthive
4, van Nispen, Sponsor_0
4, Lamprecht, Semantic Web
4, Haassen, Amazon
4, East, TerminusDB
4, Nabahe, Ontoforce
4, Grandia, Synaptica
